English,Tiếng Việt
qualified,đạt tiêu chuẩn
candidate,ứng viên
applicant,người xin việc
confidence,sự tự tin
in confidence,tự tin
confidence in,tự tin vào
professional,chuyên nghiệp
hire,Thuê
reference,thẩm quyền giải quyết
achievement,thành tích
position,chức vụ
exellent,xuất sắc
eligible,đạt chuẩn
identify,nhận dạng
associate,kết hợp
employment,thuê người làm
lack,thiếu
familiar,thân thuộc
prospective,tiềm năng
attractive,hấp dẫn
appeal,bắt mắt
specialize,chuyên môn
concern,bận tâm
consultant,tư vấn
entitle,quyền
certification,chứng nhận
a birth certification,một chứng nhận sinh
professional certification,chứng chỉ chuyên nghiệp
occupation,nghề nghiệp
occupant,người cư ngụ
wage,tiền công
wage,tiền công
resume,bản tóm tắt
requirement,yêu cầu
interview,phỏng vấn
tranning,tranning
condition,tình trạng
condition,tình trạng
diligent,siêng năng
proficiency,khả năng
strategy,chiến lược
degree,bằng cấp
payroll,lương bổng
attire,Trang phục
concern + about/over,quan tâm + về/hơn
exception,ngoại lệ
comply,tuân theo
policy,chính sách
regulation,quy định
severely,tàn khốc
refrain,ngưng
refrain + from,kiềm chế + từ
access,truy cập
access,truy cập
thoroughly,triệt để
revise,ôn lại
approval,sự chấp thuận
obtain approval,được sự chấp nhận
form,hình thức
form,hình thức
immediately,ngay lập tức
procedure,thủ tục
negative,tiêu cực
possitive,sở hữu
mandate,thi hành
effect,tác dụng
effect,tác dụng
according to,dựa theo
standard,tiêu chuẩn
constant,không thay đổi
obligation,nghĩa vụ
authorize,ủy quyền
prohibit,cấm
forbid,ngăn cấm
habit,thói quen
restrict,hạn chế
code,mã số
adhere,tuân thủ
permission,sự cho phép
approach,tiếp cận
approach,tiếp cận
inspection,điều tra
suspected,nghi ngờ
forgery,giả mạo
appear,xuất hiện
genuine,thành thật
arrangement,sắp xếp
enable,cho phép
act,hành động
suspiciously,nghi ngờ
abolish,bỏ
court,tòa án
obtain,đạt được
compensation,đền bù
ban,lệnh cấm
legislation,pháp luật
stimulate,kích thích
faltering economy,Nền kinh tế chùn bước
accustomed,quen
demand,yêu cầu
colleague,đồng nghiệp
associate,kết hợp
peer,ngang nhau
coworker,đồng nghiệp
devision,sự sai lệch
category,loại
request,lời yêu cầu
efficiently,hiệu quả
submit,nộp
directly,trực tiếp
remind,nhắc lại
instruct,dạy
sample,vật mẫu
contamination,sự ô nhiễm
notify,thông báo
announce,thông báo
reveal,tiết lộ
perform,trình diễn
assignment,phân công
entire,toàn bộ
extension,sự mở rộng
attendance,sự tham dự
absolutely,tuyệt đối
delegate,đại biểu
overburdended,quá tải
trivial,không đáng kể
attentively,chăm chú
supervision,giám sát
revision,ôn tập
proposal,đề xuất
reluctantly,miễn cưỡng
resign,từ chức
agree,đồng ý
accquaint,Accquatain
museum,bảo tàng
workshop,xưởng
convey,chuyên chở
check,kiểm tra
examine,nghiên cứu
oversee,giám sát
appointed,được chỉ định
coordinate,điều phối
concentrate + on,Tập trung + BẬT
corparation,sự điều chỉnh
manage,quản lý
monitor,màn hình
monitor,màn hình
respiration,hô hấp
desever,mong muốn
release,giải phóng
release,giải phóng
electronically,bằng điện tử
toll,Quay
involved,có liên quan
argument,lý lẽ
occasionally,thỉnh thoảng
treble,treble
conduct,chỉ đạo
direct,trực tiếp
assign,giao phó
neutrality,tính trung lập
scientist,nhà khoa học
issue,vấn đề
mentor,người hướng dẫn
nearest,gần nhất
supervise,giám sát
leading,Dẫn đầu
compare,so sánh
favourably,có lợi
formal,chính thức
complain,phàn nàn
remove,di dời
detergent,chất tẩy rửa
stain,vết bẩn
collect,sưu tầm
stamp,con tem
coordinate,điều phối
hardly,khắc nghiệt
devastation,tàn phá
region,vùng đất
decision,phán quyết
strive,phấn đấu
extend,mở rộng
hospitality,lòng hiếu khách
absence,vắng mặt
expect,trông chờ
straight,thẳng
skillfully,Khéo léo
exclusive,loại trừ
intention,chủ đích
bruise,vết bầm
scene,bối cảnh
disturbing,phiền
foster,nuôi dưỡng
maintain,duy trì
throughout,khắp
reign,Triều đại
political,thuộc về chính trị
wide,rộng
admire,ngưỡng mộ
accomplish,hoàn thành
undertake,đảm nhận
manner,thái độ
adjust,điều chỉnh
personnel,nhân viên
confidential,bảo mật
classified,phân loại
secret,bí mật
abstract,trừu tượng
directory,danh mục
accountable,có trách nhiệm
transform,biến đổi
respectful,tôn trọng
theory,lý thuyết
no longer,không còn nữa
accepted,Đã được chấp nhận
aid,sự giúp đỡ
reorganization,Tái tổ chức
industry,ngành công nghiệp
duplication,trùng lặp
original,nguyên bản
culture,văn hoá
contrary,ngược lại
engage,đính hôn
coach,huấn luyện viên
timely,hợp thời
realistically,thực tế
promptly,nhanh chóng
abruptly,đột ngột
accessible,có thể truy cập
implement,thực hiện
feedback,nhận xét
encouraging,khuyến khích
outstanding,nổi bật
inform,thông báo
replacement,Thay thế
agency,hãng
secretary,thư ký
announcement,thông báo
deathly,chết người
hush,im lặng
fulfill,thực hiện
duty,nhiệm vụ
outline,đề cương
outline,đề cương
boat,thuyền
coloured,màu sắc rực rỡ
commission,nhiệm vụ
general,tổng quan
counsel,tư vấn
machine,máy móc
overview,Tổng quan
brief,ngắn gọn
matter,vấn đề
enforce,thi hành
expertise,chuyên môn
